member_id_no,hospital,hosp_address,hosp_hours,hosp_tel_no,hosp_designation,hosp_days,hosp_remarks,hosp_primary
1929,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,0
3870,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
4021,EAST AVENUE MEDICAL CENTER,,,,,,,0
2100,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,0
4273,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,0
4355,WESTERN VISAYAS MEDICAL CENTER,,,,,,,0
0516,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
0296,PHILIPPINE CHILDREN MEDICAL CENTER,,,,,,,1
2442,UNITED DOCTORS MEDICAL CENTER,,,,,,,1
6373,WESTERN VISAYAS MEDICAL CENTER,,,,,,,0
0242,THE MEDICAL CITY,,,,,,,1
0300,BULACAN PROVINCIAL HOSPITAL,,,,,,,1
1861,UST HOSPITAL,,,,,,,1
0302,DR. JOSE FABELLA MEMORIAL HOSPITAL,,,,,,,1
0303,CAGAYAN VALLEY MEDICAL  CENTER,,,,,,,1
1214,VL MAKABALI MEMORIAL MEDICAL CENTER,,,,,,,1
2018,ASIAN HOSPITAL AND MEDICAL CENTER,,,,,,,0
6465,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,,,,,,,0
0306,BATANGAS PROVINCIAL HOSPITAL,,,,,,,1
0307,HOSPITAL OF THE INFANT JESUS,,,,,,,1
3675,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,1
1068,APARRI CHRISTIAN HOSPITAL,,,,,,,1
2432,DE LA SALLE UNIVERSITY MEDICAL  CENTER,,,,,,,1
0311,ZAMBOANGA DEL SUR PROVINCIAL HOSPITAL,,,,,,,1
1068,APARRI COMMUNITY HOSPITAL,,,,,,,0
5416,OSPITAL NG MAKATI,,,,,,,0
1068,LYCEUM PROVINCIAL HOSPITAL,,,,,,,0
0320,CENTRAL AZUCARERA DON PEDRO,,,,,,,1
3339,DAVAO REGIONAL HOSPITAL,,,,,,,1
0317,OUR LADY OF LOURDES HOSPITAL,,,,,,,1
6192,MARIANO MARCOS MEMORIAL HOSPITAL & MEDICAL CENTER,,,,,,,0
5280,EASTERN VISAYAS REGIONAL MEDICAL CENTER,,,,,,,0
0320,APACIBLE MEMORIAL DISTRICT HOSPITAL,,,,,,,0
1139,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
5450,CEBU DOCTORS UNIVERSITY HOSPITAL,,,,,,,0
2037,NOVALICHES GENERAL HOSPITAL,,,,,,,0
5387,UP-PGH MEDICAL CENTER,,,,,,,0
0325,ZIGA MEMORIAL DISTRICT HOSPITAL,,,,,,,1
2213,UST HOSPITAL,,,,,,,1
1928,DUMAGUETE CITY PROVINCIAL HOSPITAL,,,,,,,1
0700,VISAYAS COMMUNITY MEDICAL CENTER,,,,,,,1
5290,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,0
0003,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3514,ZAMBOANGA CITY MEDICAL CENTER,,,,,,,1
1890,FEU NRMF,,,,,,,1
3346,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,1
5553,RIZAL MEDICAL CENTER,,,,,,,0
1718,DR. YANGAS GENERAL HOSPITAL,,,,,,,1
0006,UP-PGH MEDICAL CENTER,,,,,,,1
0335,DANIEL MERCADO MEDICAL CENTER,,,,,,,1
1224,SABAL DOCTORS HOSPITAL,,,,,,,0
0337,ZAMBOANGA CITY MEDICAL CENTER,,,,,,,1
2729,DAVAO REGIONAL HOSPITAL,,,,,,,1
0006,FABELLA MEMORIAL HOSPITAL,,,,,,,0
4769,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,0
2408,DR. JOSE FABELLA MEMORIAL HOSPITAL,,,,,,,1
3829,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,1
0303,PEOPLES EMERGENCY HOSPITAL,,,,,,,0
0344,EAST AVENUE MEDICAL CENTER,,,,,,,1
1362,DIVINE GRACE HOSPITAL & MATERNITY CENTER,,,,,,,1
3231,VETERANS MEMORIAL MEDICAL CENTER,,,,,,,1
0345,MALVAR MEDICAL FOUNDATION,,,,,,,1
3589,URDANETA SACRED HEART HOSPITAL,,,,,,,1
